id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,821372.5845135,585.0044999970123,0,25,0.39866639495644157,0.5489095115172549,2.1041456282523154,0.8005871281305488,gaze,,,,821372.5845135 821372.588548 821372.5925825 821372.596617 821372.6006515 821372.604686 821372.6087205 821372.612755 821372.6167895 821372.620824 821372.6248585 821372.628893 821372.636382 821372.636962 821372.6409965 821372.645031 821372.6490655 821372.6531 821372.6571345 821372.661169 821372.665204 821372.6692385001 821372.673273 821372.6773075 821372.681342 821372.6853765 821372.689411 821372.6934455 821372.69748 821372.7015145 821372.705549 821372.7095834999 821372.713618 821372.7176525 821372.753963 821372.7579975 821372.790274 821372.7943085 821372.798343 821372.8023775 821372.806412 821372.8104465 821372.814481 821372.8185155 821372.82255 821372.8265845 821372.830619 821372.8346535 821372.838688 821372.8427225 821372.846757 821372.8507915 821372.854826 821372.8588605 821372.862895 821372.8669295 821372.870964 821372.8749985 821372.879033 821372.8830675 821372.887102 821372.8911365 821372.895171 821372.8992055 821372.90324 821372.9072745 821372.911309 821372.9153435 821372.919378 821372.9234125 821372.927447 821372.9314815 821372.935516 821372.9395505 821372.943585 821372.9476195 821372.951654 821372.9556885 821372.959723 821372.9637575 821372.967792 821372.9718265 821372.975861 821372.9798955 821372.98393 821372.987965 821372.9919995 821372.999489 821373.0000684999 821373.004103 821373.0081375 821373.012172 821373.0162065 821373.020241 821373.0242755 821373.02831 821373.0323445001 821373.036379 821373.0404135 821373.044448 821373.0484825 821373.052517 821373.0565515 821373.060586 821373.0646205 821373.068655 821373.0726894999 821373.076724 821373.0807585 821373.084793 821373.088828 821373.0928625 821373.096897 821373.1009315 821373.104966 821373.1090005001 821373.113035 821373.1170695 821373.121104 821373.1251385 821373.129173 821373.1332075 821373.137242 821373.1412765 821373.1453110001 821373.1493455 821373.15338 821373.1574145 821373.161449 821373.1654835 821373.169518
1,821373.613314,100.86300002876669,51,57,0.4405877143001607,0.5106505618604105,3.00969054011287,0.8341985278304173,gaze,,,,821373.613314 821373.6173485001 821373.621383 821373.6254175 821373.629452 821373.633487 821373.6375215 821373.641556 821373.6455905 821373.649625 821373.6536595 821373.657694 821373.6617285 821373.665763 821373.6697975 821373.673832 821373.6778665 821373.681901 821373.6859355 821373.68997 821373.6940045 821373.698039 821373.7020735 821373.706108 821373.7101425 821373.714177
2,821374.6138735,213.82900001481175,111,123,0.7974500251957628,0.5667496812950543,2.8984359025660904,0.9004955034385131,gaze,,,,821374.6138735 821374.617908 821374.6219425 821374.625977 821374.6300115 821374.634046 821374.6380805001 821374.642115 821374.6461495 821374.650184 821374.6542185 821374.658253 821374.6622875 821374.666322 821374.6703565 821374.674391 821374.6784254999 821374.68246 821374.6864945 821374.690529 821374.6945635 821374.698598 821374.702633 821374.7066675 821374.710702 821374.7147365 821374.718771 821374.7228055 821374.72684 821374.7308745 821374.734909 821374.7389435 821374.742978 821374.7470125 821374.751047 821374.7550815 821374.759116 821374.7631505 821374.767185 821374.7712195 821374.775254 821374.7792885 821374.783323 821374.7873575 821374.791392 821374.7954265 821374.799461 821374.8034955 821374.80753 821374.8115645 821374.815599 821374.8196335 821374.823668 821374.8277025
3,821374.8357715,996.5244999621063,124,183,0.8501689072388812,0.5829799813876574,2.8621061916881105,0.9212824677382807,gaze,,,,821374.8357715 821374.831737 821375.6144325 821375.618467 821375.6225015 821375.626536 821375.6305705 821375.634605 821375.6386395 821375.642674 821375.6467085 821375.650743 821375.6547775 821375.658812 821375.6628469999 821375.6668815 821375.670916 821375.6749505 821375.678985 821375.6830195 821375.687054 821375.6910885 821375.695123 821375.6991574999 821375.703192 821375.7072265 821375.711261 821375.7152955 821375.71933 821375.7233645 821375.727399 821375.7314335 821375.7354679999 821375.7395025 821375.743537 821375.7475715 821375.751606 821375.7556405 821375.759675 821375.7637095 821375.767744 821375.7717784999 821375.775813 821375.7798475 821375.783882 821375.7879165 821375.791951 821375.7959855 821375.80002 821375.8040545 821375.8080889999 821375.8121235 821375.816158 821375.8201925 821375.824227 821375.8282615 821375.832296
4,821375.8363305,213.829500018619,183,196,0.8522083483710995,0.6072034467936114,2.2216356872184164,0.9172206377417264,gaze,,,,821375.8363305 821375.840365 821375.8443994999 821375.848434 821375.8524685 821375.856503 821375.8605375 821375.864572 821375.8686065 821375.872641 821375.8766755 821375.8807099999 821375.8847445 821375.888779 821375.892814 821375.8968485 821375.900883 821375.9049175 821375.908952 821375.9129865 821375.9170210001 821375.9210555 821375.92509 821375.9291245 821375.933159 821375.9371935 821375.941228 821375.9452625 821375.949297 821375.9533315001 821375.957366 821375.9614005 821375.965435 821375.9694695 821375.973504 821375.9775385 821375.981573 821375.9856075 821375.9896420001 821375.993677 821375.9977115 821376.001746 821376.0057805 821376.009815 821376.0138495 821376.017884 821376.0219185 821376.025953 821376.0299875 821376.034022 821376.0380565 821376.042091 821376.0461255 821376.05016
5,821376.840344,997.1049999585375,243,303,0.5255560482702245,0.4592161370203414,2.2855916805347243,0.7635250496150262,gaze,,,,821376.840344 821376.840924 821376.8449585 821376.848993 821376.8530275 821376.857062 821376.861097 821376.8651315 821376.869166 821376.8732005 821376.877235 821376.8812695 821376.888759 821376.8893385 821376.893373 821376.8974075 821376.901442 821376.9054765 821376.909511 821376.9135455 821376.91758 821376.9216145 821376.925649 821376.9296835 821376.933718 821376.9377525 821376.941787 821376.9458215 821376.949856 821376.9538905 821376.957925 821376.96196 821376.9659945 821376.970029 821376.9740635001 821376.978098 821376.9821325 821376.986167 821376.9902015 821376.994236 821376.9982705 821377.002305 821377.0063395 821377.0103740001 821377.0144085 821377.018443 821377.0224775 821377.026512 821377.0305465 821377.034581 821377.0386155 821377.04265 821377.0466845001 821377.050719 821377.0547535 821377.058788 821377.066277 821377.066857 821377.0708915 821377.074926 821377.0789605 821377.0829950001 821377.0870295 821377.091064 821377.0950985 821377.099133 821377.1031675 821377.107202 821377.114691 821377.115271 821377.1193055001 821377.12334 821377.130829 821377.1354435 821377.138898 821377.139478 821377.1435125 821377.147547 821377.155036 821377.1596504999 821377.163105 821377.163685 821377.1677195 821377.171754 821377.1757885 821377.179823 821377.183858 821377.1878925 821377.195382 821377.1999959999 821377.203451 821377.2040305 821377.208065 821377.2120995 821377.219589 821377.2201685 821377.224203 821377.2282375 821377.232272 821377.2363065 821377.243796 821377.2443755 821377.24841 821377.2524445 821377.256479 821377.2605135 821377.264548 821377.2685825 821377.276072 821377.2766515 821377.2806865 821377.284721 821377.2887555 821377.29279 821377.2968245 821377.300859 821377.3048934999 821377.308928 821377.3129625 821377.316997 821377.3210315 821377.325066 821377.3291005 821377.333135 821377.3371695 821377.3412039999 821377.3452385 821377.349273 821377.3533075 821377.357342 821377.3613765 821377.365411 821377.3729 821377.3734800001 821377.3775144999 821377.381549 821377.3855835 821377.389618 821377.3936525 821377.397687 821377.4017215 821377.405756 821377.4097905 821377.4138249999 821377.421314 821377.4259285 821377.429383 821377.429963 821377.4339975 821377.438032 821377.4420665 821377.446101 821377.4501354999 821377.45417 821377.461659 821377.462239 821377.4662735 821377.470308 821377.4743425 821377.478377 821377.485866 821377.4864459999 821377.4904805 821377.494515 821377.4985495 821377.502584 821377.506619 821377.5106535 821377.514688 821377.5187225 821377.522757 821377.5267915 821377.534281 821377.5348605 821377.538895 821377.5429295 821377.546964 821377.5509985 821377.555033 821377.5590675 821377.563102 821377.5671365 821377.571171 821377.5752055 821377.57924 821377.5832745 821377.587309 821377.5913435 821377.595378 821377.5994125 821377.603447 821377.607482 821377.6115165 821377.615551 821377.6195855 821377.62362 821377.6276545 821377.631689 821377.6357235 821377.639758 821377.6437925 821377.647827 821377.655316 821377.655896 821377.6599305 821377.663965 821377.6679995 821377.672034 821377.6760685 821377.680103 821377.6841375 821377.688172 821377.6922065 821377.696241 821377.70373 821377.70431 821377.7083445 821377.712379 821377.7164135 821377.720448 821377.7244825 821377.728517 821377.7325515 821377.736586 821377.744075 821377.744655 821377.7486895 821377.752724 821377.760213 821377.760793 821377.7648275 821377.768862 821377.7728965 821377.776931 821377.78442 821377.7890345 821377.792489 821377.793069 821377.7971035 821377.801138 821377.8051725 821377.809207 821377.8132415 821377.817276 821377.8213105 821377.825345 821377.82938 821377.8334145 821377.837449
6,821378.4789365,189.6219999762252,341,352,0.5090253718077421,0.4937582918555019,2.6399554454686935,0.837411668304974,gaze,,,,821378.4789365 821378.486426 821378.4870055 821378.49104 821378.4950745 821378.499109 821378.5031435 821378.5071779999 821378.5112125 821378.515247 821378.5192815 821378.523316 821378.5273505 821378.531385 821378.5354195 821378.539454 821378.5434884999 821378.547523 821378.5515575 821378.555592 821378.5596265 821378.563661 821378.5676955 821378.57173 821378.575765 821378.5797995001 821378.583834 821378.5878685 821378.591903 821378.5959375 821378.599972 821378.6040065 821378.608041 821378.6120755 821378.6161100001 821378.6201445 821378.624179 821378.6282135 821378.632248 821378.6362825 821378.640317 821378.6443515 821378.648386 821378.6524205001 821378.656455 821378.6604895 821378.664524 821378.6685585
7,821379.475461,996.5244999621063,400,459,0.44472973025076623,0.5628244112633042,2.066539055256439,0.9219763587427207,gaze,,,,821379.475461 821379.4714265 821379.467392 821379.4633575 821379.459323 821379.4552885001 821379.451254 821379.4472195 821379.443185 821379.43915 821379.4351155 821379.431081 821379.4270465 821379.423012 821379.4189774999 821379.414943 821379.4109085 821379.406874 821379.4028395 821379.398805 821379.3947705 821379.390736 821379.3867015 821379.3826669999 821379.3786325 821379.374598 821379.3705635 821379.366529 821379.3624945 821379.35846 821379.3544255 821379.350391 821379.3463564999 821379.342322 821379.3382875 821379.334253 821379.3302185 821379.326184 821379.3221495 821379.318115 821379.3140805 821379.3100459999 821379.3060115 821379.301977 821379.2979425 821379.293908 821379.2898735 821379.285839 821379.2818045 821379.27777 821379.2737354999 821379.269701 821379.2656665 821379.261632 821379.2575975 821379.253563 821379.2495285 821379.245494 821379.2414595 821379.2374249999 821379.2333905 821379.229356 821379.2253215 821379.221287 821379.217252 821379.2132175 821379.209183 821379.2051485 821379.201114 821379.1970795 821379.193045 821379.1890105 821379.184976 821379.1809415 821379.176907 821379.1728725 821379.168838 821379.1648035 821379.160769 821379.1567345 821379.1527 821379.1486655 821379.144631 821379.1405965 821379.136562 821379.1325275 821379.128493 821379.1244585 821379.120424 821379.116389 821379.1123545 821379.10832 821379.1042855 821379.100251 821379.0962165 821379.0921819999 821379.0881475 821379.084113 821379.0800785 821379.076044 821379.0720095 821379.067975 821379.0639405 821379.059906 821379.0558715 821379.0518370001 821379.0478025 821379.043768 821379.0397335 821379.035699 821379.0316645 821379.02763 821379.0235955 821379.0195609999 821379.0155265 821379.011492 821379.0074575 821379.003423 821378.9993885 821378.995354 821378.9913195 821378.987285 821378.9832505 821378.9792160001 821378.9751815 821378.971147 821378.9671125 821378.963078 821378.9590435 821378.955009 821378.9509745 821378.9469399999 821378.9429055 821378.938871 821378.9348365 821378.930802 821378.9267675 821378.922733 821378.9186985 821378.914664 821378.9106294999 821378.906595 821378.9025605 821378.898526 821378.8944915 821378.890457 821378.886422 821378.8823875 821378.878353 821378.8743185 821378.870284 821378.8662495 821378.862215 821378.8581805 821378.854146 821378.8501115 821378.846077 821378.8420425 821378.838008 821378.8339735 821378.829939 821378.8259045 821378.82187 821378.8178355 821378.813801 821378.8097665 821378.805732 821378.8016975 821378.797663 821378.793628 821378.7895935 821378.785559 821378.7815245 821378.77749 821378.7734555 821378.769421 821378.7653865 821378.7613520001 821378.7573175 821378.753283 821378.7492485 821378.745214 821378.7411795 821378.737145 821378.7331105 821378.729076 821378.7250415001 821378.721007 821378.7169725 821378.712938 821378.7089035 821378.704869 821378.7008345 821378.6968 821378.6927655 821378.6887310001 821378.6846965 821378.680662 821378.6766275 821378.672593 821379.4794955 821379.48353 821379.4875645 821379.4915990001 821379.4956335 821379.499668 821379.5037025 821379.507737 821379.5117715 821379.515806 821379.5198405 821379.523875 821379.5279095001 821379.531944 821379.5359785 821379.540013 821379.544048 821379.5480825 821379.552117 821379.5561515 821379.560186 821379.5642205 821379.568255 821379.5722895 821379.576324 821379.5803585 821379.584393 821379.5884275 821379.592462 821379.5964965 821379.600531 821379.6045655 821379.6086 821379.6126345 821379.616669 821379.6207035 821379.624738 821379.6287725 821379.632807 821379.6368415 821379.640876 821379.6449105 821379.648945 821379.6529795 821379.657014 821379.6610485 821379.665083 821379.6691175 821379.673152 821379.6771865 821379.681221 821379.6852555 821379.68929 821379.6933245 821379.697359 821379.7013935 821379.705428 821379.7094625 821379.713497 821379.7175315 821379.721566 821379.7256005 821379.729635 821379.7336695 821379.737704 821379.7417385 821379.745773 821379.7498075 821379.753842 821379.757877 821379.7619115 821379.765946 821379.7699805 821379.774015 821379.7780495 821379.782084 821379.7861184999 821379.790153 821379.7941875 821379.798222 821379.8022565 821379.806291 821379.8103255 821379.81436 821379.8183945001 821379.822429 821379.8264635 821379.830498 821379.8345325 821379.838567 821379.8426015 821379.846636 821379.8506705 821379.854705 821379.8587394999 821379.862774 821379.866809 821379.8708435 821379.874878 821379.8789125 821379.882947 821379.8869815 821379.891016 821379.8950505 821379.899085 821379.9031195 821379.907154 821379.9111885 821379.915223 821379.9192575 821379.923292 821379.9273265 821379.931361 821379.9353955 821379.93943 821379.9434645 821379.947499 821379.9515335 821379.955568 821379.9596025 821379.963637 821379.9676715 821379.971706 821379.9757405 821379.979775 821379.9838095 821379.987844 821379.9918785 821379.995913 821379.9999475 821380.003982 821380.0080165 821380.012051 821380.0160855 821380.02012 821380.0241545 821380.028189 821380.0322235 821380.036258 821380.0402925 821380.044327 821380.0483615 821380.052396 821380.0564305 821380.060465 821380.0644995 821380.068534 821380.0725685 821380.076603 821380.0806375 821380.084672 821380.088707 821380.0927415 821380.096776 821380.1008105 821380.104845 821380.1088795001 821380.112914 821380.1169485 821380.120983 821380.1250175 821380.129052 821380.1330865 821380.137121 821380.1411555 821380.14519 821380.1492244999 821380.153259 821380.1572935 821380.161328 821380.1653625 821380.169397 821380.1734315 821380.177466 821380.1815005001 821380.185535 821380.18957 821380.1936045 821380.197639 821380.2016735 821380.205708 821380.2097425 821380.213777 821380.2178115 821380.2218460001 821380.2258805 821380.229915 821380.2339495 821380.237984 821380.2420185 821380.246053 821380.2500875 821380.254122 821380.2581565001 821380.262191 821380.2662255 821380.27026 821380.2742945 821380.278329 821380.2823635 821380.286398 821380.2904325 821380.294467 821380.2985015 821380.302536 821380.3065705 821380.310605 821380.3146395 821380.318674 821380.3227085 821380.326743 821380.3307775 821380.334812 821380.3388465 821380.342881 821380.3469155 821380.35095 821380.3549845 821380.359019 821380.3630535 821380.367088 821380.3711225 821380.375157 821380.3791915 821380.383226 821380.3872605 821380.391295 821380.3953295 821380.399364 821380.4033985 821380.407433 821380.411468 821380.4155025 821380.419537 821380.4235715 821380.427606 821380.4316405 821380.435675 821380.4397095 821380.443744 821380.4477785 821380.451813 821380.4558475 821380.459882 821380.4639165 821380.467951 821380.4719855
8,821380.47602,310.6575000565499,460,478,0.4358449981628438,0.5426295996957736,2.4564048342445073,0.8706008324837489,gaze,,,,821380.47602 821380.4800545 821380.484089 821380.4881235 821380.492158 821380.4961925 821380.500227 821380.504262 821380.5082965 821380.5123310001 821380.5163655 821380.5204 821380.5244345 821380.528469 821380.5325035 821380.536538 821380.5405725 821380.544607 821380.5486415001 821380.552676 821380.5567105 821380.560745 821380.5647795 821380.568814 821380.5728485 821380.576883 821380.5809175 821380.5849520001 821380.5889865 821380.593021 821380.5970555 821380.60109 821380.6051245 821380.609159 821380.6131935 821380.617228 821380.6212625001 821380.625297 821380.6293315 821380.633366 821380.6374005 821380.641435 821380.6454695 821380.649504 821380.6535385 821380.6575730001 821380.6616075 821380.665642 821380.6696765 821380.673711 821380.6777455 821380.68178 821380.6858145 821380.689849 821380.6938835001 821380.697918 821380.7019525 821380.705987 821380.7100215 821380.714056 821380.7180905 821380.722125 821380.7261595 821380.7301940001 821380.734229 821380.7382635 821380.742298 821380.7463325 821380.750367 821380.7544015 821380.758436 821380.7624705 821380.766505 821380.7705395 821380.774574 821380.7786085 821380.782643 821380.7866775
9,821381.476579,108.93200000282377,519,526,0.4118048765485537,0.41137567213158316,2.6082077750432893,0.7079769757016356,gaze,,,,821381.476579 821381.480614 821381.4846485 821381.488683 821381.4927175 821381.497332 821381.5007865 821381.504821 821381.5088555 821381.51289 821381.5169245 821381.520959 821381.5249935 821381.529608 821381.537677 821381.5411314999 821381.545166 821381.545746 821381.5492005 821381.553235 821381.5572695 821381.561304 821381.5653385 821381.569373 821381.5734075 821381.577442 821381.5814765 821381.585511
